"VARIABLE","UNIT","COUNTRY","TIME_FORMAT","POWERCODE","obsTime","obsValue","OBS_STATUS","UNIT_label","VARIABLE_label"
"T-PASS-RD-BUS","PKM","MDA","P1Y","6","2005",2059,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","MDA","P1Y","6","2006",2206,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","MDA","P1Y","6","2007",2475,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1970",3083,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1971",3258,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1972",3469,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1973",3700,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1974",3962,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1975",4181,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1976",4358,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1977",4583,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1978",4861,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1979",5088,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1980",5651,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1981",5930,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1982",6218,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","AZE","P1Y","6","1983",6476,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","ALB","P1Y","6","1970",776,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1970",11100,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1971",10900,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1972",10900,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1973",11000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1974",11400,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1975",11800,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1976",12900,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1977",12800,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1978",12800,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1979",13000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1980",13200,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1981",13300,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1982",13200,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1983",12900,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1984",13000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1985",13000,"B","Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1986",12700,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1987",12600,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1988",12600,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1989",12800,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1990",13100,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1991",13600,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1992",13500,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1993",13700,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1994",13900,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1995",14200,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1996",14400,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1997",14400,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","NLD","P1Y","6","1998",15000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1970",101550,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1971",99974,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1972",102438,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1973",97224,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1974",97675,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1975",95682,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1976",87080,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1977",87202,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1978",89940,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1979",89702,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1980",90177,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1981",89469,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1982",86899,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1983",85977,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1984",86358,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1985",86611,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","JPN","P1Y","6","1986",84889,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1970",48600,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1971",50700,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1972",52700,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1973",54800,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1974",56800,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1975",58700,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1976",58800,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1977",60900,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1978",62200,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1979",64000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1980",65600,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1981",67100,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1982",66000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1983",62100,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1984",61700,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1985",54000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1986",53500,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1987",53000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1988",53200,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DEU","P1Y","6","1989",54100,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
