"VARIABLE","UNIT","COUNTRY","MEASURE","TIME_FORMAT","POWERCODE","obsTime","obsValue","UNIT_label","VARIABLE_label","label.y"
"I-MTN-IWW","EUR","IRL","EUR_CONST","P1Y","0","1998",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","AUS","EUR_CONST","P1Y","0","2007",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","CZE","EUR","P1Y","0","2009",1777946,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","PLN","POL","NAT","P1Y","0","2011",6.8e+07,NA,"Zloty","Inland waterway infrastucture maintenance"
"I-MTN-IWW","AUD","AUS","NAT","P1Y","0","2007",NA,"M","Australian Dollar","Inland waterway infrastucture maintenance"
"I-MTN-IWW","HRK","HRV","NAT","P1Y","0","1998",5e+06,NA,"Croatian Kuna","Inland waterway infrastucture maintenance"
"I-MTN-IWW","HRK","HRV","NAT","P1Y","0","1999",8e+06,NA,"Croatian Kuna","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","PRT","NAT","P1Y","0","2013",1e+06,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","TUR","EUR_CONST","P1Y","0","2003",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","BGN","BGR","NAT","P1Y","0","2014",2e+06,NA,"Bulgarian Lev","Inland waterway infrastucture maintenance"
"I-MTN-IWW","DKK","DNK","NAT","P1Y","0","2006",NA,"M","Danish Krone","Inland waterway infrastucture maintenance"
"I-MTN-IWW","MKD","MKD","NAT","P1Y","0","1995",NA,"M","Denar","Inland waterway infrastucture maintenance"
"I-MTN-IWW","ISK","ISL","NAT","P1Y","0","2004",NA,"M","Iceland Krona","Inland waterway infrastucture maintenance"
"I-MTN-IWW","DKK","DNK","NAT","P1Y","0","2009",NA,"M","Danish Krone","Inland waterway infrastucture maintenance"
"I-MTN-IWW","MXN","MEX","NAT","P1Y","0","2011",NA,"M","Mexican Peso","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","IRL","EUR_CONST","P1Y","0","2014",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LTU","NAT","P1Y","0","2002",1e+06,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MLT","EUR_CONST","P1Y","0","2011",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","HRK","HRV","NAT","P1Y","0","2009",9e+06,NA,"Croatian Kuna","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LTU","EUR_CONST","P1Y","0","2005",1843760,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SVK","EUR_CONST","P1Y","0","2005",2397995,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","FIN","EUR","P1Y","0","1995",1.4e+07,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","CZK","CZE","NAT","P1Y","0","2007",7.9e+07,NA,"Czech Koruna","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LTU","NAT","P1Y","0","2010",1e+06,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SVK","EUR_CONST","P1Y","0","2009",2040858,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","CZK","CZE","NAT","P1Y","0","1999",1.58e+08,NA,"Czech Koruna","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","FIN","EUR_CONST","P1Y","0","2014",14999912,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NOR","EUR","P1Y","0","2003",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","IRL","EUR","P1Y","0","2002",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MLT","EUR","P1Y","0","2010",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","CZE","EUR_CONST","P1Y","0","1997",9971993,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","ISK","ISL","NAT","P1Y","0","2014",NA,"M","Iceland Krona","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MLT","EUR","P1Y","0","2006",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","AUD","AUS","NAT","P1Y","0","2004",NA,"M","Australian Dollar","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","BEL","NAT","P1Y","0","2007",7.6e+07,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MLT","EUR","P1Y","0","2003",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MLT","EUR","P1Y","0","2002",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SVK","EUR_CONST","P1Y","0","2014",8653846,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SVK","NAT","P1Y","0","1997",5e+06,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","HUN","EUR","P1Y","0","2006",24513736,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MEX","EUR_CONST","P1Y","0","2000",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","HUN","EUR","P1Y","0","2008",1606298,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","EUR_CONST","P1Y","0","1997",192233,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","FIN","EUR","P1Y","0","2010",1.7e+07,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NOR","EUR_CONST","P1Y","0","2010",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MKD","EUR_CONST","P1Y","0","2005",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","EUR_CONST","P1Y","0","1999",172303,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","EUR_CONST","P1Y","0","2000",376967,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NLD","NAT","P1Y","0","2009",6.93e+08,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MNE","NAT","P1Y","0","2003",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","JPY","JPN","NAT","P1Y","0","1996",NA,"M","Yen","Inland waterway infrastucture maintenance"
"I-MTN-IWW","DKK","DNK","NAT","P1Y","0","2007",NA,"M","Danish Krone","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MNE","EUR","P1Y","0","2003",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","TUR","EUR_CONST","P1Y","0","2015",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","TUR","EUR_CONST","P1Y","0","2014",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SRB","EUR","P1Y","0","2002",4074045,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ROU","EUR","P1Y","0","2003",13315225,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MNE","EUR","P1Y","0","2004",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MNE","EUR","P1Y","0","2005",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","EST","EUR","P1Y","0","2007",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ISL","EUR_CONST","P1Y","0","2000",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MNE","EUR_CONST","P1Y","0","1996",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ISL","EUR_CONST","P1Y","0","1998",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SVN","NAT","P1Y","0","2004",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","NAT","P1Y","0","1997",147050,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ISL","EUR_CONST","P1Y","0","2003",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NZL","EUR_CONST","P1Y","0","2011",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","NAT","P1Y","0","1998",112172,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ITA","NAT","P1Y","0","1995",1e+07,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ARM","EUR_CONST","P1Y","0","2007",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","NAT","P1Y","0","2001",212742,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","NAT","P1Y","0","2010",305233,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","NAT","P1Y","0","2007",453919,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NZL","EUR_CONST","P1Y","0","2015",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","FIN","NAT","P1Y","0","1996",2.1e+07,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","IRL","EUR","P1Y","0","2010",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","GRC","NAT","P1Y","0","2004",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","FRA","NAT","P1Y","0","2011",6.1e+07,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MKD","EUR_CONST","P1Y","0","2001",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","JPN","EUR_CONST","P1Y","0","2003",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","CHF","LIE","NAT","P1Y","0","2011",NA,"M","Swiss Franc","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SVN","EUR","P1Y","0","1995",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","JPN","EUR_CONST","P1Y","0","2006",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","MDL","MDA","NAT","P1Y","0","2009",9e+06,NA,"Moldovan Leu","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","EUR","P1Y","0","2012",265497,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","EUR","P1Y","0","2015",78326,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","NZD","NZL","NAT","P1Y","0","2002",NA,"M","New Zealand Dollar","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LTU","EUR","P1Y","0","2009",1e+06,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ESP","EUR","P1Y","0","2012",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","RON","ROU","NAT","P1Y","0","2001",1.7e+07,NA,"Romanian Leu","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","GEO","EUR_CONST","P1Y","0","1996",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LTU","NAT","P1Y","0","1996",1e+06,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MEX","EUR","P1Y","0","2010",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","TRY","TUR","NAT","P1Y","0","2003",NA,"M","Turkish Lira","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","PRT","EUR_CONST","P1Y","0","2012",916590,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","NZD","NZL","NAT","P1Y","0","2004",NA,"M","New Zealand Dollar","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","FIN","EUR_CONST","P1Y","0","2001",25891908,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","PRT","EUR_CONST","P1Y","0","2013",914913,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","FIN","EUR_CONST","P1Y","0","2000",37703178,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LIE","EUR","P1Y","0","2012",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","BEL","EUR_CONST","P1Y","0","2005",73143972,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","AUT","NAT","P1Y","0","2001",1.7e+07,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LVA","EUR_CONST","P1Y","0","1999",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","AUT","EUR","P1Y","0","2001",1.7e+07,NA,"Euro","Inland waterway infrastucture maintenance"
