"TRAFFIC_PARTICIPATION","AGE_GROUP","INJURY_TYPE","COUNTRY","UNIT","DATA_TYPE","TIME_FORMAT","obsTime","obsValue","OBS_STATUS","INJURY_TYPE_label","AGE_GROUP_label","TRAFFIC_PARTICIPATION_label"
"1010","110","740","ITA","NUMBER","CORRECTED","P1Y","2012",3753,NA,"Killed","Total","Total"
"1010","140","740","IRL","NUMBER","CORRECTED","P1Y","2005",5,NA,"Killed","10-14 Years","Total"
"1010","230","740","NOR","NUMBER","CORRECTED","P1Y","2009",19,"f","Killed","21-24 Years","Total"
"1010","150","740","ARG","NUMBER","CORRECTED","P1Y","2010",358,"f","Killed","15-17 Years","Total"
"1010","120","740","ESP","NUMBER","CORRECTED","P1Y","2010",32,"f","Killed","00-05 Years","Total"
"1010","230","740","CZE","NUMBER","CORRECTED","P1Y","2006",108,NA,"Killed","21-24 Years","Total"
"1010","140","740","IRL","NUMBER","CORRECTED","P1Y","2012",0,NA,"Killed","10-14 Years","Total"
"1010","140","740","IRL","NUMBER","CORRECTED","P1Y","2013",1,NA,"Killed","10-14 Years","Total"
"1010","230","740","CZE","NUMBER","CORRECTED","P1Y","2009",92,NA,"Killed","21-24 Years","Total"
"1010","230","740","CZE","NUMBER","CORRECTED","P1Y","2010",74,NA,"Killed","21-24 Years","Total"
"1010","110","740","USA","NUMBER","CORRECTED","P1Y","2009",33883,"f","Killed","Total","Total"
"1010","130","740","DNK","NUMBER","CORRECTED","P1Y","2009",5,NA,"Killed","06-09 Years","Total"
"1010","140","740","GBR","NUMBER","CORRECTED","P1Y","2012",25,NA,"Killed","10-14 Years","Total"
"1010","230","740","CZE","NUMBER","CORRECTED","P1Y","2012",56,NA,"Killed","21-24 Years","Total"
"1010","230","740","CZE","NUMBER","CORRECTED","P1Y","2013",64,NA,"Killed","21-24 Years","Total"
"1010","230","740","ISL","NUMBER","CORRECTED","P1Y","2006",3,NA,"Killed","21-24 Years","Total"
"1010","150","740","ISR","NUMBER","CORRECTED","P1Y","2015",11,NA,"Killed","15-17 Years","Total"
"1010","140","740","CAN","NUMBER","CORRECTED","P1Y","2010",28,NA,"Killed","10-14 Years","Total"
"1010","230","740","FIN","NUMBER","CORRECTED","P1Y","2008",20,NA,"Killed","21-24 Years","Total"
"1010","120","740","ARG","NUMBER","CORRECTED","P1Y","2014",161,NA,"Killed","00-05 Years","Total"
"1010","230","740","FIN","NUMBER","CORRECTED","P1Y","2010",20,NA,"Killed","21-24 Years","Total"
"1010","120","740","AUS","NUMBER","CORRECTED","P1Y","2005",39,NA,"Killed","00-05 Years","Total"
"1010","310","740","SWE","NUMBER","CORRECTED","P1Y","2014",99,NA,"Killed","65 Years and more","Total"
"1010","130","740","HUN","NUMBER","CORRECTED","P1Y","2013",3,NA,"Killed","06-09 Years","Total"
"1010","140","740","FRA","NUMBER","CORRECTED","P1Y","2009",52,NA,"Killed","10-14 Years","Total"
"1010","110","740","NZL","NUMBER","CORRECTED","P1Y","2010",375,"f","Killed","Total","Total"
"1010","110","740","POL","NUMBER","CORRECTED","P1Y","2005",5444,"f","Killed","Total","Total"
"1010","110","740","USA","NUMBER","CORRECTED","P1Y","2010",32999,"f","Killed","Total","Total"
"1010","120","740","LTU","NUMBER","CORRECTED","P1Y","2011",3,NA,"Killed","00-05 Years","Total"
"1010","120","740","AUT","NUMBER","CORRECTED","P1Y","2014",3,NA,"Killed","00-05 Years","Total"
"1010","230","740","GRC","NUMBER","CORRECTED","P1Y","2013",79,NA,"Killed","21-24 Years","Total"
"1010","140","740","CHE","NUMBER","CORRECTED","P1Y","2009",8,"f","Killed","10-14 Years","Total"
"1010","110","740","ITA","NUMBER","CORRECTED","P1Y","2013",3401,NA,"Killed","Total","Total"
"1010","140","740","CHE","NUMBER","CORRECTED","P1Y","2010",4,"f","Killed","10-14 Years","Total"
