"POWERCODE","SUBJECT","UNIT","LOCATION","SEX","FREQUENCY","TIME_FORMAT","REFERENCEPERIOD","obsTime","obsValue","OBS_STATUS","UNIT_label","SUBJECT_label","POWERCODE_label"
"3","YP99TTL1_ST","PER","POL","TT","A","P1Y",NA,"1963",30691,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","POL","TT","A","P1Y",NA,"1964",31161,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1985",2053,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1986",2060,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1987",2070,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1988",2082,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1989",2091,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1990",2097,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1991",2107,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1992",2120,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1993",2133,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1994",2144,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1995",2155.373,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1996",2166.445,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1997",2178.625,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1998",2192.333,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1999",2208,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2000",2224,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2001",2237,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2002",2249,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2003",2262,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2004",2276.56,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2005",2293.025,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2006",2314,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2007",2343,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2008",2377,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2009",2410.903,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2010",2444,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2011",2480,NA,"Persons","Population","Thousands"
